Stock Id,Name,Count
20MICRONS,20 Microns Limited,0
21STCENMGM,21st Century Management Services Limited,0
3IINFOTECH,3i Infotech Limited,0
3MINDIA,3M India Limited,0
3PLAND,3P Land Holdings Limited,0
5PAISA,5Paisa Capital Limited,0
63MOONS,63 moons technologies limited,0
8KMILES,8K Miles Software Services Limited,0
A2ZINFRA,A2Z Infra Engineering Limited,0
AARTIDRUGS,Aarti Drugs Limited,0
AARTIIND,Aarti Industries Limited,0
AARVEEDEN,Aarvee Denims & Exports Limited,0
AAVAS,Aavas Financiers Limited,0
ABAN,Aban Offshore Limited,0
ABB,ABB India Limited,0
ABBOTINDIA,Abbott India Limited,0
ABCAPITAL,Aditya Birla Capital Limited,0
ABFRL,Aditya Birla Fashion and Retail Limited,0
ABGSHIP,ABG Shipyard Limited,0
ABMINTLTD,ABM International Limited,0
ACC,ACC Limited,0
ACCELYA,Accelya Kale Solutions Limited,0
ACE,Action Construction Equipment Limited,0
ADANIENT,Adani Enterprises Limited,0
ADANIGAS,Adani Gas Limited,0
ADANIGREEN,Adani Green Energy Limited,0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,0
ADANIPOWER,Adani Power Limited,0
ADANITRANS,Adani Transmission Limited,0
ADFFOODS,ADF Foods Limited,0
ADHUNIK,Adhunik Metaliks Limited,0
ADHUNIKIND,Adhunik Industries Limited,0
ADLABS,Adlabs Entertainment Limited,0
ADORWELD,Ador Welding Limited,0
ADROITINFO,Adroit Infotech Limited,0
ADSL,Allied Digital Services Limited,0
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,0
ADVENZYMES,Advanced Enzyme Technologies Limited,0
AEGISCHEM,Aegis Logistics Limited,0
AGARIND,Agarwal Industrial Corporation Limited,0
AGCNET,AGC Networks Limited,0
AGLSL,Artemis Global Life Sciences Limited,0
AGRITECH,Agri-Tech (India) Limited,0
AHLEAST,Asian Hotels (East) Limited,0
AHLUCONT,Ahluwalia Contracts (India) Limited,0
AHLWEST,Asian Hotels (West) Limited,0
AIAENG,AIA Engineering Limited,0
AIFL,Ashapura Intimates Fashion Limited,0
AIONJSW,Monnet Ispat & Energy Limited,0
AJANTPHARM,Ajanta Pharma Limited,0
AJMERA,Ajmera Realty & Infra India Limited,0
AKSHARCHEM,AksharChem India Limited,0
AKSHOPTFBR,Aksh Optifibre Limited,0
AKZOINDIA,Akzo Nobel India Limited,0
ALANKIT,Alankit Limited,0
ALBERTDAVD,Albert David Limited,0
ALBK,Allahabad Bank,0
ALCHEM,Alchemist Limited,0
ALEMBICLTD,Alembic Limited,0
ALICON,Alicon Castalloy Limited,0
ALKALI,Alkali Metals Limited,0
ALKEM,Alkem Laboratories Limited,0
ALKYLAMINE,Alkyl Amines Chemicals Limited,0
ALLCARGO,Allcargo Logistics Limited,0
ALLSEC,Allsec Technologies Limited,0
ALMONDZ,Almondz Global Securities Limited,0
ALOKTEXT,Alok Industries Limited,0
ALPA,Alpa Laboratories Limited,0
ALPHAGEO,Alphageo (India) Limited,0
AMARAJABAT,Amara Raja Batteries Limited,0
AMBER,Amber Enterprises India Limited,0
AMBIKCO,Ambika Cotton Mills Limited,0
AMBUJACEM,Ambuja Cements Limited,0
AMDIND,AMD Industries Limited,0
AMJLAND,Amj Land Holdings Limited,0
AMRUTANJAN,Amrutanjan Health Care Limited,0
ANANTRAJ,Anant Raj Limited,0
ANDHRABANK,Andhra Bank,0
ANDHRACEMT,Andhra Cements Limited,0
ANDHRSUGAR,The Andhra Sugars Limited,0
ANGIND,ANG Industries Limited,0
ANIKINDS,Anik Industries Limited,0
ANKITMETAL,Ankit Metal & Power Limited,0
ANSALAPI,Ansal Properties & Infrastructure Limited,0
ANSALHSG,Ansal Housing and Construction Limited,0
ANTGRAPHIC,Antarctica Limited,0
APARINDS,Apar Industries Limited,0
APCL,Anjani Portland Cement Limited,0
APCOTEXIND,Apcotex Industries Limited,0
APEX,Apex Frozen Foods Limited,0
APLAPOLLO,APL Apollo Tubes Limited,0
APLLTD,Alembic Pharmaceuticals Limited,0
APOLLO,Apollo Micro Systems Limited,0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,0
APOLLOTYRE,Apollo Tyres Limited,0
APOLSINHOT,Apollo Sindoori Hotels Limited,0
APTECHT,Aptech Limited,0
ARCHIDPLY,Archidply Industries Limited,0
ARCHIES,Archies Limited,0
ARCOTECH,Arcotech Limited,0
ARENTERP,Rajdarshan Industries Limited,0
ARIES,Aries Agro Limited,0
ARIHANT,Arihant Foundations & Housing Limited,0
ARIHANTSUP,Arihant Superstructures Limited,0
ARMANFIN,Arman Financial Services Limited,0
AROGRANITE,Aro Granite Industries Limited,0
ARROWGREEN,Arrow Greentech Limited,0
ARROWTEX,Arrow Textiles Limited,0
ARSHIYA,Arshiya Limited,0
ARSSINFRA,ARSS Infrastructure Projects Limited,0
ARVIND,Arvind Limited,0
ARVSMART,Arvind SmartSpaces Limited,0
ASAHIINDIA,Asahi India Glass Limited,0
ASAHISONG,Asahi Songwon Colors Limited,0
ASAL,Automotive Stampings and Assemblies Limited,0
ASHAPURMIN,Ashapura Minechem Limited,0
ASHIANA,Ashiana Housing Limited,0
ASHIMASYN,Ashima Limited,0
ASHOKA,Ashoka Buildcon Limited,0
ASHOKLEY,Ashok Leyland Limited,0
ASIANHOTNR,Asian Hotels (North) Limited,0
ASIANPAINT,Asian Paints Limited,0
ASIANTILES,Asian Granito India Limited,0
ASPINWALL,Aspinwall and Company Limited,0
ASSAMCO,Assam Company India Limited,0
ASTEC,Astec LifeSciences Limited,0
ASTERDM,Aster DM Healthcare Limited,0
ASTRAL,Astral Poly Technik Limited,0
ASTRAMICRO,Astra Microwave Products Limited,0
ASTRAZEN,AstraZeneca Pharma India Limited,0
ASTRON,Astron Paper & Board Mill Limited,0
ATFL,Agro Tech Foods Limited,0
ATLANTA,Atlanta  Limited,0
ATLASCYCLE,Atlas Cycles (Haryana) Limited,0
ATUL,Atul Limited,0
ATULAUTO,Atul Auto Limited,0
AUBANK,AU Small Finance Bank Limited,0
AURIONPRO,Aurionpro Solutions Limited,0
AUROPHARMA,Aurobindo Pharma Limited,0
AUSOMENT,Ausom Enterprise Limited,0
AUTOAXLES,Automotive Axles Limited,0
AUTOIND,Autoline Industries Limited,0
AUTOLITIND,Autolite (India) Limited,0
AVADHSUGAR,Avadh Sugar & Energy Limited,0
AVANTIFEED,Avanti Feeds Limited,0
AVTNPL,AVT Natural Products Limited,0
AXISBANK,Axis Bank Limited,0
AXISCADES,AXISCADES Engineering Technologies Limited,0
AYMSYNTEX,AYM Syntex Limited,0
BAFNAPHARM,Bafna Pharmaceuticals Limited,0
BAGFILMS,B.A.G Films and Media Limited,0
BAJAJ-AUTO,Bajaj Auto Limited,0
BAJAJCORP,Bajaj Corp Limited,0
